year,rank,country,regional indicator,ladder score,log GDP per capita,social support,healthy life expectancy,freedom to make life choices,generosity,perceptions of corruption,dystopia + residual,whisker-high,whisker-low
2016,1,Denmark,Western Europe,7.526,1.441784382,1.163744926,0.795040131,0.57941258,0.361709565,0.444532186,2.739390373,7.592,7.46
2016,2,Switzerland,Western Europe,7.509,1.527334213,1.145236492,0.863029063,0.585571766,0.280825347,0.412032723,2.694632053,7.59,7.428
2016,3,Iceland,Western Europe,7.501,1.426655412,1.183259368,0.867332816,0.566242337,0.476783901,0.149747416,2.831373215,7.669,7.333
2016,4,Norway,Western Europe,7.498,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896,2.664645195,7.575,7.421
2016,5,Finland,Western Europe,7.413,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,2.825964928,7.475,7.351
2016,6,Canada,North America and ANZ,7.404,1.440147758,1.096098185,0.827603579,0.57370019,0.44834137,0.313291997,2.704854488,7.473,7.335
2016,7,Netherlands,Western Europe,7.339,1.46468389,1.02912271,0.812308967,0.552113593,0.474157631,0.299268067,2.707485199,7.394,7.284
2016,8,New Zealand,North America and ANZ,7.334,1.360661983,1.172781706,0.830957234,0.581473291,0.494010955,0.419043779,2.475531578,7.404,7.264
2016,9,Australia,North America and ANZ,7.313,1.444426179,1.104755282,0.851203442,0.568365872,0.474068999,0.323306561,2.546504498,7.385,7.241
2016,10,Sweden,Western Europe,7.291,1.45181036,1.087640166,0.831212401,0.582184851,0.382537901,0.408665925,2.547340393,7.355,7.227
2016,11,Israel,Middle East and North Africa,7.267,1.33766067,0.995372832,0.849171937,0.36432001,0.322876483,0.087278329,3.310285568,7.335,7.199
2016,12,Austria,Western Europe,7.119,1.450382471,1.083832502,0.805645227,0.543551922,0.328647077,0.213483572,2.69342804,7.193,7.045
2016,13,United States,North America and ANZ,7.104,1.507962227,1.047815084,0.778997898,0.481630385,0.410768449,0.148683056,2.727815151,7.188,7.02
2016,14,Costa Rica,Latin America and Caribbean,7.087,1.068794847,1.021524072,0.761464834,0.552250743,0.225525066,0.105465144,3.351676702,7.175,6.999
2016,15,Puerto Rico,Latin America and Caribbean,7.039,1.35943079,1.081130385,0.77758044,0.468232125,0.222022176,0.122752629,3.007603168,7.284,6.794
